Date,Actual_Price,AR_Prediction,Hybrid_Prediction,Absolute_Error,MAPE,Risk_Regime
2008-01-01,6144.35,6155.267552713347,6090.8740687157715,53.475931284228864,0.8703269065764299,Low Risk
2008-01-02,6179.4,6163.905991031286,6125.958901029356,53.44109897064391,0.8648266655442908,Low Risk
2008-01-03,6178.55,6173.6111718354,6069.819804842996,108.73019515700435,1.759801169481583,Low Risk
2008-01-04,6274.3,6184.92628631419,6060.372344791985,213.9276552080155,3.4095860129100535,Low Risk
2008-01-07,6279.1,6195.938237658064,6043.196111296162,235.90388870383867,3.7569697680215106,Low Risk
2008-01-08,6287.85,6206.752613501063,6065.603646731932,222.24635326806856,3.534536499249641,Low Risk
2008-01-09,6272.0,6217.586544877742,6076.437578108611,195.56242189138902,3.1180233082172997,Low Risk
2008-01-10,6156.95,6228.475654124972,6088.837356008418,68.11264399158154,1.1062724886767237,Low Risk
2008-01-11,6200.1,6239.388366952527,6098.651656731073,101.4483432689276,1.6362372101889904,Low Risk
2008-01-14,6206.8,6250.3192199963905,6111.795366346564,95.00463365343603,1.5306540190345432,Low Risk
2008-01-15,6074.25,6261.271720990484,6123.957947446977,49.707947446977414,0.8183388475445925,Low Risk
2008-01-16,5935.75,6272.2472072512,6131.255563664982,195.50556366498222,3.293696056353152,Low Risk
2008-01-17,5913.2,6283.245333119278,6134.389045965492,221.18904596549237,3.7405980850553404,Low Risk
2008-01-18,5705.3,6294.265944604939,6132.688169017826,427.38816901782593,7.491072669584876,Medium Risk
2008-01-21,5208.8,6305.309120519868,6113.382788363604,904.5827883636039,17.366433504139223,High Risk
2008-01-22,4899.3,6316.374939366929,6131.390123175511,1232.0901231755106,25.148289004051815,High Risk
2008-01-23,5203.4,6327.463445844812,6135.659995495278,932.2599954952784,17.916362291872208,High Risk
2008-01-24,5033.45,6338.574681930863,6189.841276583807,1156.3912765838068,22.97412861126676,High Risk
2008-01-25,5383.35,6349.708694007405,6157.905243657871,774.555243657871,14.38797855717854,Medium Risk
2008-01-28,5274.1,6360.865529379929,6168.939197223665,894.839197223665,16.966671038161294,High Risk
2008-01-29,5280.8,6372.045234919424,6180.24178456989,899.4417845698899,17.032301631758255,High Risk
2008-01-30,5167.6,6383.247857429975,6191.444407080441,1023.8444070804408,19.812764282847755,High Risk
2008-01-31,5137.45,6394.473443869062,6202.669993519528,1065.2199935195285,20.734410914354953,High Risk
2008-02-01,5317.25,6405.72204131868,6213.918590969146,896.668590969146,16.863389740357253,High Risk
2008-02-04,5463.5,6416.993696951968,6225.190246602434,761.690246602434,13.94143400022758,Medium Risk
2008-02-05,5483.9,6428.288458034352,6236.485007684818,752.5850076848183,13.723536309648576,Medium Risk
2008-02-06,5322.55,6439.606371928465,6247.802921578931,925.2529215789309,17.383639826378914,High Risk
